section,key,type,offset,default,source_addr,yr_active,notes,field_class
$SELF,WaterBound,bool,0x67c,UNINIT,line:80,yes,ctor leaves uninitialized — INI silent => whatever memory had,uninit_config
$SELF,BuildCat,enum_buildcat,0xe08,,line:51,yes,FUN_00475060 short-string enum reader,config
$SELF,HalfDamageSmokeLocation1,int[3],0xe0c,,line:63,yes,coord triple,config
$SELF,HalfDamageSmokeLocation2,int[3],0xe18,,line:70,yes,coord triple,config
$SELF,GateCloseDelay,double,0xe28,0.0,line:513,yes,double — two DWORDs at 0xE28/0xE2C zeroed (ctor 0045de06/0045de0c),config
$SELF,LightVisibility,int,0xe30,5000,line:495,yes,ctor 0045de12 sets 0x1388,config
$SELF,LightIntensity,double,0xe34,0,line:498,yes,ctor 0045de21,config
$SELF,LightRedTint,double,0xe38,1000000,line:502,yes,ctor 0045de27 (0xF4240),config
$SELF,LightGreenTint,double,0xe3c,1000000,line:506,yes,ctor 0045de2d,config
$SELF,LightBlueTint,double,0xe40,1000000,line:510,yes,ctor 0045de33,config
$IMAGE,PrimaryFirePixelOffset,minmax,0xe44,"{min=0xFFFF, max=0xFFFF}",line:677,yes,minmax sentinel — ctor 0045de40/0045de46,config
$IMAGE,SecondaryFirePixelOffset,minmax,0xe4c,"{min=0xFFFF, max=0xFFFF}",line:683,yes,minmax sentinel — ctor 0045de4c/0045de52,config
$IMAGE,ToOverlay,OverlayType*,0xe54,0 (null OverlayType*),line:654,yes,source_fn=OverlayTypeClass__FindOrCreate; ctor 0045de58,config
$IMAGE,Buildup,char[16],0xe5c,"" (empty string),line:745,yes,ctor 0045e416 null-terms at [0xE5C],config
$SELF,BuildupSound,VocClass*,0xe6c,-1 (unset VocClass*),line:375,yes,source_fn=VocClass__FindByName; ctor 0045de64,config
$SELF,PackupSound,VocClass*,0xe70,-1,line:382,yes,source_fn=VocClass__FindByName; ctor 0045de6a,config
$SELF,CreateUnitSound,VocClass*,0xe74,-1,line:388,yes,source_fn=VocClass__FindByName; ctor 0045de70,config
$SELF,UnitEnterSound,VocClass*,0xe78,-1,line:402,yes,source_fn=VocClass__FindByName; ctor 0045de76,config
$SELF,UnitExitSound,VocClass*,0xe7c,-1,line:395,yes,source_fn=VocClass__FindByName; ctor 0045de7c,config
$SELF,WorkingSound,VocClass*,0xe80,-1,line:409,yes,source_fn=VocClass__FindByName; ctor 0045de82,config
$SELF,NotWorkingSound,VocClass*,0xe84,-1,line:416,yes,source_fn=VocClass__FindByName; ctor 0045de88,config
$SELF,PowersUpBuilding,char[16],0xe88,"" (empty),line:523,yes,ctor 0045e41c null-terms char[16],config
$SELF,FreeUnit,UnitType*,0xea0,0 (null),line:321,yes,source_fn=FUN_007480d0; ctor 0045de8e,config
$SELF,SecretInfantry,InfantryType*,0xea4,0 (null),line:333,yes,source_fn=FUN_00524cb0; ctor 0045de94,config
$SELF,SecretUnit,UnitType*,0xea8,0 (null),line:340,yes,source_fn=FUN_007480d0; ctor 0045de9a,config
$SELF,SecretBuilding,string,0xeac,0 (null string),line:346,yes,ctor 0045dea0 — SecretBuilding is 4-byte string slot,config
$SELF,Adjacent,int,0xeb4,3,line:82,yes,ctor 0045deac — default Adjacent cells,config
$SELF,Factory,UnitType*,0xeb8,0 (null),line:318,yes,FUN_00474ff0 DynString reader source_fn=FUN_007480d0; ctor 0045deb6,config
$SELF,TargetCoordOffset,int[3],0xebc,"{0,0,0}",line:581,yes,coord triple; coord triple — ctor 0045debc/0045dec2/0045dec8,config
$SELF,ExitCoord,int[3],0xec8,"{0,0,0}",line:590,yes,coord triple; coord triple — ctor 0045dece/0045ded4/0045deda,config
$SELF,DeployFacing,int,0xedc,128,line:493,yes,ctor 0045deec — default DeployFacing,config
$SELF,Power,int,0xee0,0,line:614,yes,ctor 0045def6,config
$SELF,ExtraPower,int,0xee8,0,line:627,yes,ctor 0045df02,config
$IMAGE,Foundation,enum_category,0xef0,0,line:660,yes,FUN_00474da0 category-string enum (PTR_DAT_0081b9d8 table); ctor 0045df13 (Foundation=0),config
$IMAGE,Height,int,0xef4,2,line:634,yes,ctor 0045df19 — default Height,config
$IMAGE,OccupyHeight,int,0xef8,2,line:636,yes,ctor 0045df1f — default OccupyHeight,config
$IMAGE,MidPoint,int,0xefc,0,line:666,yes,ctor 0045df25,config
