offset,size,type,value,form
0x0,4,int/u32,0xf,D
0x4,4,int/u32,0x14,A
0x8,4,int/u32,5,A
0xC,4,int/u32,100,A
0x10,4,int/u32,0,A
0x14,4,int/u32,0,A
0x18,4,int/u32,5,A
0x20,4,int/u32,0,A
0x24,4,int/u32,0x3ff00000 (~1.0),A
0x28,4,int/u32,0x11111111,A
0x2C,4,int/u32,0x3f911111 (~1.133f),A
0x30,4,int/u32,1000,A
0x34,4,int/u32,1,A
0x38,4,int/u32,1000,A
0x3C,4,int/u32,1,A
0x40,1,undefined1,0,B
0x41,1,undefined1,0,C
0x44,4,int/u32,0,A
0x48,4,int/u32,0,A
0x4C,4,int/u32,0,A
0x50,4,int/u32,0xc,A
0x54,4,int/u32,0,A
0x58,4,int/u32,&PTR_FUN_007f0d3c,A
0x68,4,int/u32,0,A
0x6C,4,int/u32,10,A
0x74,4,int/u32,0,A
0x78,4,int/u32,0x3d4ccccd (~0.05f),A
0x7C,4,int/u32,5,A
0x80,4,int/u32,0x3f800000 (~1.0f),A
0x84,4,int/u32,0x3dcccccd (~0.1f),A
0x88,4,int/u32,7,A
0x8C,4,int/u32,0x15,A
0x90,4,int/u32,0xf,A
0x94,4,int/u32,0,A
0x98,4,int/u32,0,A
0x9C,4,int/u32,0,A
0xA0,4,int/u32,0,A
0xA4,4,int/u32,0,A
0xA8,4,int/u32,0,A
0xAC,4,int/u32,0,A
0xB0,4,int/u32,0,A
0xB4,4,int/u32,0,A
0xB8,4,int/u32,0,A
0xC0,4,int/u32,0,A
0xC4,4,int/u32,0x3ff00000 (~1.0),A
0xC8,4,int/u32,0,A
0xCC,4,int/u32,0xbff00000,A
0xD0,4,int/u32,0,A
0xD4,4,int/u32,0x3ff00000 (~1.0),A
0xD8,4,int/u32,10000,A
0xDC,4,int/u32,1000,A
0xE0,4,int/u32,100,A
0xE4,4,int/u32,100,A
0xE8,4,int/u32,0,A
0xEC,4,int/u32,2,A
0xF0,4,int/u32,5,A
0xF4,4,int/u32,6,A
0xF8,4,int/u32,0,A
0xFC,4,int/u32,0,A
0x100,4,int/u32,0,A
0x104,4,int/u32,&PTR_FUN_007eb6d4,A
0x114,4,int/u32,0,A
0x118,4,int/u32,10,A
0x120,4,int/u32,&PTR_FUN_007eb6d4,A
0x130,4,int/u32,0,A
0x134,4,int/u32,10,A
0x13C,4,int/u32,&PTR_FUN_007eb6d4,A
0x14C,4,int/u32,0,A
0x150,4,int/u32,10,A
0x158,4,int/u32,&PTR_FUN_007eb6d4,A
0x168,4,int/u32,0,A
0x16C,4,int/u32,10,A
0x174,4,int/u32,-1 (ffffffff),A
0x178,4,int/u32,-1 (ffffffff),A
0x17C,4,int/u32,-1 (ffffffff),A
0x180,4,int/u32,-1 (ffffffff),A
0x184,4,int/u32,-1 (ffffffff),A
0x188,4,int/u32,-1 (ffffffff),A
0x18C,4,int/u32,-1 (ffffffff),A
0x190,4,int/u32,-1 (ffffffff),A
0x194,4,int/u32,-1 (ffffffff),A
0x198,4,int/u32,-1 (ffffffff),A
0x19C,4,int/u32,-1 (ffffffff),A
0x1A0,4,int/u32,-1 (ffffffff),A
0x1A4,4,int/u32,-1 (ffffffff),A
0x1A8,4,int/u32,-1 (ffffffff),A
0x1AC,4,int/u32,-1 (ffffffff),A
0x1B0,4,int/u32,-1 (ffffffff),A
0x1B4,4,int/u32,-1 (ffffffff),A
0x1B8,4,int/u32,-1 (ffffffff),A
0x1BC,4,int/u32,-1 (ffffffff),A
0x1C0,4,int/u32,-1 (ffffffff),A
0x1C4,4,int/u32,-1 (ffffffff),A
0x1C8,4,int/u32,-1 (ffffffff),A
0x1CC,4,int/u32,-1 (ffffffff),A
