function_addr,section,key,offset,type,section_match,source_line
0x0066D530,General,DamageFireTypes,0x2B0,AnimType*,yes,49
0x0066D530,General,OreTwinkle,0x1870,AnimType*,yes,78
0x0066D530,General,BarrelExplode,0x54,AnimType*,yes,85
0x0066D530,General,BarrelDebris,0x68,string,yes,91
0x0066D530,General,BarrelParticle,0x74,AnimType*,yes,120
0x0066D530,General,NukeTakeOff,0x98,AnimType*,yes,127
0x0066D530,General,&DAT_0083cf08,0x94,AnimType*,yes,134
0x0066D530,General,DropPod,0x114,AnimType*,yes,139
0x0066D530,General,DeadBodies,0x130,AnimType*,yes,167
0x0066D530,General,MetallicDebris,0x14C,AnimType*,yes,195
0x0066D530,General,BridgeExplosions,0x168,string,yes,223
0x0066D530,General,IonBlast,0x298,AnimType*,yes,253
0x0066D530,General,IonBeam,0x29C,AnimType*,yes,260
0x0066D530,General,WeatherConClouds,0x2CC,string,yes,266
0x0066D530,General,WeatherConBolts,0x2E8,AnimType*,yes,295
0x0066D530,General,WeatherConBoltExplosion,0x2F4,AnimType*,yes,324
0x0066D530,General,DominatorWarhead,0x2F8,WarheadType*,yes,332
0x0066D530,General,DominatorFirstAnim,0x2FC,AnimType*,yes,340
0x0066D530,General,DominatorSecondAnim,0x300,AnimType*,yes,348
0x0066D530,General,DominatorFireAtPercentage,0x304,int,yes,355
0x0066D530,General,DominatorCaptureRange,0x308,int,yes,358
0x0066D530,General,DominatorDamage,0x30C,int,yes,361
0x0066D530,General,ChronoPlacement,0x330,AnimType*,yes,365
0x0066D530,General,ChronoBeam,0x334,AnimType*,yes,372
0x0066D530,General,ChronoBlast,0x328,AnimType*,yes,378
0x0066D530,General,ChronoBlastDest,0x32C,AnimType*,yes,385
0x0066D530,General,WarpIn,0x338,AnimType*,yes,392
0x0066D530,General,WarpOut,0x33C,AnimType*,yes,398
0x0066D530,General,WarpAway,0x340,AnimType*,yes,404
0x0066D530,General,IronCurtainInvokeAnim,0x348,AnimType*,yes,410
0x0066D530,General,ForceShieldInvokeAnim,0x34C,AnimType*,yes,418
0x0066D530,General,WeaponNullifyAnim,0x350,AnimType*,yes,426
0x0066D530,General,ChronoSparkle1,0x344,AnimType*,yes,434
0x0066D530,General,InfantryExplode,0x9C,AnimType*,yes,441
0x0066D530,General,FlamingInfantry,0xA0,AnimType*,yes,448
0x0066D530,General,InfantryHeadPop,0xA4,AnimType*,yes,455
0x0066D530,General,InfantryNuked,0xA8,AnimType*,yes,462
0x0066D530,General,InfantryVirus,0xAC,AnimType*,yes,469
0x0066D530,General,InfantryBrute,0xB0,AnimType*,yes,476
0x0066D530,General,InfantryMutate,0xB4,AnimType*,yes,483
0x0066D530,General,Behind,0xB8,AnimType*,yes,490
0x0066D530,General,MoveFlash,0xBB4,AnimType*,yes,497
0x0066D530,General,Parachute,0xBBC,AnimType*,yes,504
0x0066D530,General,BombParachute,0xBB8,AnimType*,yes,511
0x0066D530,General,DropZoneAnim,0x147C,AnimType*,yes,518
0x0066D530,General,EMPulseSparkles,0x17F4,AnimType*,yes,525
0x0066D530,General,LargeVisceroid,0x10,string,yes,532
0x0066D530,General,SmallVisceroid,0x14,string,yes,540
0x0066D530,General,TiberiumHeal,0x28,double,yes,547
0x0066D530,General,SelfHealInfantryFrames,0x30,int,yes,551
0x0066D530,General,SelfHealInfantryAmount,0x34,int,yes,554
0x0066D530,General,SelfHealUnitFrames,0x38,int,yes,557
0x0066D530,General,SelfHealUnitAmount,0x3C,int,yes,562
0x0066D530,General,ZoomInFactor,0x550,double,yes,660
0x0066D530,General,RevealByHeight,0x17EE,bool,yes,664
0x0066D530,General,AllowShroudedSubteranneanMoves,0x17EF,bool,yes,668
0x0066D530,General,AircraftFogReveal,0xF4,int,yes,672
0x0066D530,General,MinLowPowerProductionSpeed,0x570,double,yes,675
0x0066D530,General,MaxLowPowerProductionSpeed,0x574,double,yes,679
0x0066D530,General,LowPowerPenaltyModifier,0x578,double,yes,683
0x0066D530,General,MultipleFactory,0x57C,double,yes,687
0x0066D530,General,MaximumCheerRate,0x580,int,yes,691
0x0066D530,General,TreeFlammability,0x588,double,yes,694
0x0066D530,General,MissileROTVar,0x598,double,yes,698
0x0066D530,General,MissileSafetyAltitude,0x5A0,int,yes,702
0x0066D530,General,MissileSpeedVar,0x590,double,yes,705
0x0066D530,General,DropPodWeapon,0x5A4,WeaponType*,yes,710
0x0066D530,General,DropPodHeight,0x5A8,int,yes,716
0x0066D530,General,DropPodSpeed,0x5AC,int,yes,719
0x0066D530,General,DropPodAngle,0x5B0,double,yes,722
0x0066D530,General,CrewEscape,0x5C0,double,yes,734
0x0066D530,General,TunnelSpeed,0x20,double,yes,738
0x0066D530,General,HoverDampen,0x5F0,double,yes,742
0x0066D530,General,HoverBob,0x5D0,double,yes,746
0x0066D530,General,HoverHeight,0x5CC,int,yes,750
0x0066D530,General,HoverBoost,0x5D8,double,yes,753
0x0066D530,General,HoverAcceleration,0x5E0,double,yes,757
0x0066D530,General,HoverBrake,0x5E8,double,yes,761
0x0066D530,General,VeteranRatio,0x668,double,yes,765
0x0066D530,General,VeteranCombat,0x670,double,yes,769
0x0066D530,General,VeteranSpeed,0x678,double,yes,773
0x0066D530,General,VeteranSight,0x680,double,yes,777
0x0066D530,General,VeteranArmor,0x688,double,yes,781
0x0066D530,General,VeteranROF,0x690,double,yes,785
0x0066D530,General,VeteranCap,0x698,double,yes,789
0x0066D530,General,ExplosiveVoxelDebris,0x610,string,yes,793
0x0066D530,General,BridgeVoxelMax,0x624,int,yes,822
0x0066D530,General,TireVoxelDebris,0x61C,string,yes,826
0x0066D530,General,ScrapVoxelDebris,0x620,string,yes,833
0x0066D530,General,CloakingStages,0x628,int,yes,840
0x0066D530,General,ShipSinkingWeight,0x630,double,yes,843
0x0066D530,General,IceCrackingWeight,0x638,double,yes,847
0x0066D530,General,IceBreakingWeight,0x640,double,yes,851
0x0066D530,General,CliffBackImpassability,0x664,int,yes,855
0x0066D530,General,PlacementDelay,0x5F8,double,yes,858
0x0066D530,General,TrackedUphill,0x768,double,yes,862
0x0066D530,General,TrackedDownhill,0x770,double,yes,866
0x0066D530,General,WheeledUphill,0x778,double,yes,870
0x0066D530,General,WheeledDownhill,0x780,double,yes,874
0x0066D530,General,WindDirection,0x7AC,int,yes,878
0x0066D530,General,CameraRange,0x7B0,range,yes,881
0x0066D530,General,FlightLevel,0x7B4,int,yes,885
0x0066D530,General,ParachuteMaxFallRate,0x7B8,int,yes,888
0x0066D530,General,NoParachuteMaxFallRate,0x7BC,int,yes,891
0x0066D530,General,RepairBay,0x860,string,yes,894
0x0066D530,General,GDIGateOne,0x86C,string,yes,923
0x0066D530,General,GDIGateTwo,0x870,string,yes,930
0x0066D530,General,NodGateOne,0x874,string,yes,937
0x0066D530,General,NodGateTwo,0x878,string,yes,944
0x0066D530,General,WallTower,0x87C,string,yes,951
0x0066D530,General,Shipyard,0x890,string,yes,957
0x0066D530,General,GDIPowerPlant,0x89C,string,yes,986
0x0066D530,General,NodRegularPower,0x8A0,string,yes,993
0x0066D530,General,NodAdvancedPower,0x8A4,string,yes,1000
0x0066D530,General,ThirdPowerPlant,0x8A8,string,yes,1008
0x0066D530,General,PrerequisiteProcAlternate,0x400,string,yes,1015
0x0066D530,General,BaseUnit,0xB30,string,yes,1022
0x0066D530,General,HarvesterUnit,0xB4C,string,yes,1051
0x0066D530,General,PadAircraft,0xB58,AircraftType*,yes,1079
0x0066D530,General,Paratrooper,0xBE4,InfantryType*,yes,1082
0x0066D530,General,SecretInfantry,0xD00,DynVec<InfantryType*>,yes,1084
0x0066D530,General,SecretUnits,0xD1C,DynVec<UnitType*>,yes,1087
0x0066D530,General,SecretBuildings,0xD38,DynVec<BuildingType*>,yes,1090
0x0066D530,General,ChronoDelay,0xBEC,int,yes,1097
0x0066D530,General,ChronoReinfDelay,0xBF0,int,yes,1101
0x0066D530,General,ChronoDistanceFactor,0xBF4,int,yes,1105
0x0066D530,General,ChronoTrigger,0xBF8,bool,yes,1109
0x0066D530,General,ChronoMinimumDelay,0xBFC,int,yes,1113
0x0066D530,General,ChronoRangeMinimum,0xC00,int,yes,1117
0x0066D530,General,AlliedDisguise,0xD58,InfantryType*,yes,1121
0x0066D530,General,SovietDisguise,0xD5C,InfantryType*,yes,1123
0x0066D530,General,ThirdDisguise,0xD60,InfantryType*,yes,1125
0x0066D530,General,SpyPowerBlackout,0xD64,int,yes,1127
0x0066D530,General,SpyMoneyStealPercent,0xD68,double,yes,1130
0x0066D530,General,AttackCursorOnDisguise,0xD6C,bool,yes,1134
0x0066D530,General,PurifierBonus,0xF3C,double,yes,1139
0x0066D530,General,Engineer,0xF70,InfantryType*,yes,1143
0x0066D530,General,Technician,0xF6C,InfantryType*,yes,1145
0x0066D530,General,Pilot,0xF74,InfantryType*,yes,1147
0x0066D530,General,AlliedCrew,0xF78,InfantryType*,yes,1149
0x0066D530,General,SovietCrew,0xF7C,InfantryType*,yes,1151
0x0066D530,General,ThirdCrew,0xF80,InfantryType*,yes,1153
0x0066D530,General,CurleyShuffle,0x17E1,bool,yes,1155
0x0066D530,General,FineDiffControl,0x17E4,bool,yes,1163
0x0066D530,General,TeamDelays,0x1158,int[3],yes,1166
0x0066D530,General,AIHateDelays,0x1174,int[3],yes,1174
0x0066D530,General,AIAlternateProductionCreditCutof,0x1300,int,yes,1179
0x0066D530,General,AIUseTurbineUpgradeProbability,0x13E8,double,yes,1183
0x0066D530,General,NodAIBuildsWalls,0x17F1,bool,yes,1187
0x0066D530,General,AIBuildsWalls,0x17F2,bool,yes,1195
