"file","source","bytes","canvas_w","canvas_h","frame_count","frame","x_signed","y_signed","x_raw","y_raw","w","h","format","extra_9_11","rgb_12_15","unk_16_19","data_offset"
"bridge.tem","nested:temperat.mix","158344","180","180","36","0","16","3","0x0010","0x0003","148","91","3","000000","0x00060000","0x00000000","872"
"bridge.tem","nested:temperat.mix","158344","180","180","36","1","16","3","0x0010","0x0003","148","91","3","000000","0x00050000","0x00000000","5472"
"bridge.tem","nested:temperat.mix","158344","180","180","36","2","16","3","0x0010","0x0003","148","91","3","000000","0x00060000","0x00000000","10072"
"bridge.tem","nested:temperat.mix","158344","180","180","36","3","16","3","0x0010","0x0003","148","91","3","000000","0x00060000","0x00000000","14672"
"bridge.tem","nested:temperat.mix","158344","180","180","36","4","16","3","0x0010","0x0003","148","91","3","000000","0x00070000","0x00000000","19272"
"bridge.tem","nested:temperat.mix","158344","180","180","36","5","16","3","0x0010","0x0003","148","91","3","000000","0x00070000","0x00000000","23872"
"bridge.tem","nested:temperat.mix","158344","180","180","36","6","16","3","0x0010","0x0003","148","91","3","000000","0x00070000","0x00000000","28472"
"bridge.tem","nested:temperat.mix","158344","180","180","36","7","18","8","0x0012","0x0008","147","86","3","000000","0x00060000","0x00000000","33072"
"bridge.tem","nested:temperat.mix","158344","180","180","36","8","16","6","0x0010","0x0006","145","87","3","000000","0x00050000","0x00000000","37160"
"bridge.tem","nested:temperat.mix","158344","180","180","36","9","16","18","0x0010","0x0012","148","91","3","000000","0x00050000","0x00000000","43056"
"bridge.tem","nested:temperat.mix","158344","180","180","36","10","16","18","0x0010","0x0012","148","91","3","000000","0x00050000","0x00000000","47656"
"bridge.tem","nested:temperat.mix","158344","180","180","36","11","16","18","0x0010","0x0012","148","91","3","000000","0x00040000","0x00000000","52256"
"bridge.tem","nested:temperat.mix","158344","180","180","36","12","16","18","0x0010","0x0012","148","91","3","000000","0x00050000","0x00000000","56856"
"bridge.tem","nested:temperat.mix","158344","180","180","36","13","16","18","0x0010","0x0012","148","91","3","000000","0x00050000","0x00000000","61456"
"bridge.tem","nested:temperat.mix","158344","180","180","36","14","16","18","0x0010","0x0012","148","91","3","000000","0x00050000","0x00000000","66056"
"bridge.tem","nested:temperat.mix","158344","180","180","36","15","16","18","0x0010","0x0012","148","91","3","000000","0x00050000","0x00000000","70656"
"bridge.tem","nested:temperat.mix","158344","180","180","36","16","16","18","0x0010","0x0012","148","91","3","000000","0x00040000","0x00000000","75256"
"bridge.tem","nested:temperat.mix","158344","180","180","36","17","16","23","0x0010","0x0017","148","86","3","000000","0x00050000","0x00000000","81432"
"bridge.tem","nested:temperat.mix","158344","180","180","36","18","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","85664"
"bridge.tem","nested:temperat.mix","158344","180","180","36","19","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","89704"
"bridge.tem","nested:temperat.mix","158344","180","180","36","20","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","93744"
"bridge.tem","nested:temperat.mix","158344","180","180","36","21","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","97784"
"bridge.tem","nested:temperat.mix","158344","180","180","36","22","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","101824"
"bridge.tem","nested:temperat.mix","158344","180","180","36","23","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","105864"
